key	eco	name_fr	name_en
Na3	A00	Attaque Sodium	Sodium Attack
Nc3	A00	Ouverture Van Geet	Van Geet Opening
Nf3	A04	Ouverture Zukertort	Zukertort Opening
Nh3	A00	Ouverture Amar	Amar Opening
a3	A00	Ouverture Anderssen	Anderssen's Opening
a4	A00	Ouverture Ware	Ware Opening
b3	A01	Attaque Nimzo-Larsen	Nimzo-Larsen Attack
b4	A00	Ouverture polonaise (Orang-outan)	Polish Opening
c3	A00	Ouverture Saragosse	Saragossa Opening
c4	A10	Ouverture anglaise	English Opening
d3	A00	Ouverture Mieses	Mieses Opening
d4	A40	Partie du pion dame	Queen's Pawn Game
e3	A00	Ouverture Van't Kruijs	Van't Kruijs Opening
e4	B00	Partie du pion roi	King's Pawn Game
f3	A00	Ouverture Barnes	Barnes Opening
f4	A02	Ouverture de l'oiseau (Bird)	Bird Opening
g3	A00	Ouverture hongroise	Hungarian Opening
g4	A00	Ouverture Grob	Grob Opening
h3	A00	Ouverture Clemenz	Clemenz Opening
h4	A00	Ouverture Kádas	Kádas Opening
Nc3 b5	A00	Ouverture Van Geet : Gambit Laroche	Van Geet Opening: Laroche Gambit
Nc3 e5	A00	Ouverture Van Geet : inversée Nimzowitsch	Van Geet Opening: Reversed Nimzowitsch
Nf3 Nc6	A04	Ouverture Zukertort : Défense Black Mustang	Zukertort Opening: Black Mustang Defense
Nf3 Nf6	A05	Ouverture Zukertort	Zukertort Opening
Nf3 a5	A04	Ouverture Zukertort : Défense Ware	Zukertort Opening: Ware Defense
Nf3 a6	A04	Ouverture Zukertort : Défense St. George	Zukertort Opening: St. George Defense
Nf3 b5	A04	Ouverture Zukertort : Défense polonaise	Zukertort Opening: Polish Defense
Nf3 b6	A04	Ouverture Zukertort : Variante aile dame fianchetto	Zukertort Opening: Queenside Fianchetto Variation
Nf3 c5	A04	Ouverture Zukertort : Sicilian Invitation	Zukertort Opening: Sicilian Invitation
Nf3 c6	A04	Ouverture Zukertort : Slav Invitation	Zukertort Opening: Slav Invitation
Nf3 d5	A06	Ouverture Zukertort	Zukertort Opening
Nf3 d6	A04	Ouverture Zukertort : Pirc Invitation	Zukertort Opening: Pirc Invitation
Nf3 e5	A04	Ouverture Zukertort : Gambit Ross	Zukertort Opening: Ross Gambit
Nf3 e6	A04	Ouverture Zukertort : Queen's gambit Invitation	Zukertort Opening: Queen's Gambit Invitation
Nf3 f5	A04	Ouverture Zukertort : Variante hollandaise	Zukertort Opening: Dutch Variation
Nf3 f6	A04	Ouverture Zukertort : Défense Arctic	Zukertort Opening: Arctic Defense
Nf3 g5	A04	Ouverture Zukertort : Gambit Herrstrom	Zukertort Opening: Herrstrom Gambit
Nf3 g6	A04	Ouverture Zukertort : aile roi fianchetto	Zukertort Opening: Kingside Fianchetto
Nf3 h6	A04	Ouverture Zukertort : Défense Basman	Zukertort Opening: Basman Defense
a4 a5	A00	Ouverture Ware : Variante symétrique	Ware Opening: Symmetric Variation
b3 Nf6	A01	Attaque Nimzo-Larsen : Variante indienne	Nimzo-Larsen Attack: Indian Variation
b3 b5	A01	Attaque Nimzo-Larsen : Variante polonaise	Nimzo-Larsen Attack: Polish Variation
b3 b6	A01	Attaque Nimzo-Larsen : Variante symétrique	Nimzo-Larsen Attack: Symmetrical Variation
b3 c5	A01	Attaque Nimzo-Larsen : Variante anglaise	Nimzo-Larsen Attack: English Variation
b3 d5	A01	Attaque Nimzo-Larsen : Variante classique	Nimzo-Larsen Attack: Classical Variation
b3 e5	A01	Attaque Nimzo-Larsen : Variante moderne	Nimzo-Larsen Attack: Modern Variation
b3 f5	A01	Attaque Nimzo-Larsen : Variante hollandaise	Nimzo-Larsen Attack: Dutch Variation
b4 Nc6	A00	Ouverture polonaise (Orang-outan) : Variante Grigorian	Polish Opening: Grigorian Variation
b4 Nh6	A00	Ouverture polonaise (Orang-outan) : Variante Karniewski	Polish Opening: Karniewski Variation
b4 b5	A00	Ouverture polonaise (Orang-outan) : Variante symétrique	Polish Opening: Symmetrical Variation
b4 c5	A00	Ouverture polonaise (Orang-outan) : Gambit Birmingham	Polish Opening: Birmingham Gambit
b4 c6	A00	Ouverture polonaise (Orang-outan) : Variante Outflank	Polish Opening: Outflank Variation
b4 d5	A00	Ouverture polonaise (Orang-outan), avec d5	Polish Opening, with d5
b4 f5	A00	Ouverture polonaise (Orang-outan) : Défense hollandaise	Polish Opening: Dutch Defense
c4 Nc6	A10	Ouverture anglaise : Variante Anglo-Lithuanian	English Opening: Anglo-Lithuanian Variation
c4 Nf6	A15	Ouverture anglaise : Défense Anglo-indienne	English Opening: Anglo-Indian Defense
c4 b5	A10	Ouverture anglaise : Gambit Jaenisch	English Opening: Jaenisch Gambit
c4 c5	A30	Ouverture anglaise : Variante symétrique	English Opening: Symmetrical Variation
c4 c6	A11	Ouverture anglaise : Système Caro-Kann Defensive	English Opening: Caro-Kann Defensive System
c4 d5	A10	Ouverture anglaise : Défense Anglo-scandinave	English Opening: Anglo-Scandinavian Defense
c4 e5	A20	Ouverture anglaise : Variante King's anglaise	English Opening: King's English Variation
c4 e6	A13	Ouverture anglaise : Défense Agincourt	English Opening: Agincourt Defense
c4 f5	A10	Ouverture anglaise : Défense Anglo-hollandaise	English Opening: Anglo-Dutch Defense
c4 g5	A10	Ouverture anglaise : Défense Myers	English Opening: Myers Defense
c4 g6	A10	Ouverture anglaise : Variante Great Snake	English Opening: Great Snake Variation
